Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,5.730000,5.980000,5.580000,5.940000,3.691822,4234400
2003-01-03,5.850000,6.100000,5.840000,6.100000,3.791265,2589000
2003-01-06,6.030000,6.150000,5.910000,6.080000,3.778834,3699800
2003-01-07,6.060000,6.070000,5.930000,5.980000,3.716682,3124600
2003-01-08,5.860000,5.920000,5.730000,5.760000,3.579948,2673700
2003-01-09,5.780000,6.080000,5.750000,5.990000,3.722897,2813300
2003-01-10,5.960000,6.080000,5.900000,6.010000,3.735329,3210700
2003-01-13,6.060000,6.190000,6.020000,6.150000,3.822339,2170000
2003-01-14,6.330000,6.400000,6.170000,6.200000,3.853417,3684100
2003-01-15,6.200000,6.220000,5.920000,5.980000,3.716682,4018800
2003-01-16,5.980000,6.100000,5.950000,6.020000,3.741543,1892900
2003-01-17,5.940000,6.010000,5.660000,5.800000,3.604808,2298500
2003-01-21,5.910000,5.970000,5.410000,5.420000,3.368632,2426600
2003-01-22,5.330000,5.340000,5.100000,5.170000,3.213253,3206800
2003-01-23,5.200000,5.410000,5.110000,5.310000,3.300265,1751500
2003-01-24,5.280000,5.340000,5.160000,5.160000,3.207038,1934200
2003-01-27,5.070000,5.250000,5.000000,5.030000,3.126240,1050100
2003-01-28,5.050000,5.350000,5.030000,5.310000,3.300265,1067800
2003-01-29,5.180000,5.410000,5.000000,5.380000,3.343771,833900
2003-01-30,5.370000,5.390000,5.010000,5.050000,3.138671,860400
2003-01-31,5.000000,5.230000,5.000000,5.220000,3.244328,829300
2003-02-03,5.180000,5.320000,5.150000,5.220000,3.244328,1264300
2003-02-04,5.170000,5.170000,5.000000,5.030000,3.126240,756000
2003-02-05,5.050000,5.080000,4.950000,4.980000,3.095163,2205000
2003-02-06,4.970000,5.020000,4.900000,4.990000,3.101377,1236500
2003-02-07,4.990000,5.080000,4.800000,4.810000,2.989506,1000500
2003-02-10,4.840000,4.990000,4.750000,4.990000,3.101377,752400
2003-02-11,4.990000,5.070000,4.900000,4.960000,3.082733,1156600
2003-02-12,4.950000,5.020000,4.910000,5.000000,3.107594,835100
2003-02-13,5.050000,5.050000,4.850000,4.940000,3.070303,925600
2003-02-14,4.950000,5.050000,4.900000,5.010000,3.113809,801500
2003-02-18,5.050000,5.200000,5.030000,5.180000,3.219468,759800
2003-02-19,5.240000,5.280000,5.030000,5.140000,3.194606,408300
2003-02-20,5.090000,5.120000,5.000000,5.070000,3.151101,710700
2003-02-21,5.070000,5.180000,5.000000,5.150000,3.200821,531900
2003-02-24,5.120000,5.130000,5.000000,5.000000,3.107594,802600
2003-02-25,5.000000,5.060000,4.870000,5.040000,3.132454,600300
2003-02-26,5.010000,5.020000,4.910000,5.000000,3.107594,394200
2003-02-27,5.010000,5.060000,4.750000,5.020000,3.120025,16665000
2003-02-28,5.050000,5.080000,4.980000,5.050000,3.138671,987500
2003-03-03,5.060000,5.130000,4.880000,4.910000,3.051658,862200
2003-03-04,4.880000,4.960000,4.690000,4.700000,2.921137,804600
2003-03-05,4.560000,4.800000,4.560000,4.770000,2.964644,668700
2003-03-06,4.720000,4.830000,4.480000,4.520000,2.809264,1506600
2003-03-07,4.460000,4.580000,4.360000,4.410000,2.740898,1509000
2003-03-10,4.430000,4.440000,4.250000,4.280000,2.660101,761200
2003-03-11,4.270000,4.350000,4.050000,4.110000,2.554442,696700
2003-03-12,4.070000,4.120000,3.830000,4.100000,2.548227,1264700
2003-03-13,4.140000,4.360000,4.100000,4.350000,2.703606,1148800
2003-03-14,4.040000,4.180000,3.920000,3.960000,2.461214,4813800
2003-03-17,3.920000,4.380000,3.840000,4.380000,2.722252,2423400
2003-03-18,4.490000,4.730000,4.330000,4.720000,2.933568,2010300
2003-03-19,4.730000,4.820000,4.500000,4.730000,2.939784,1410000
2003-03-20,4.710000,5.180000,4.530000,5.070000,3.151101,2648700
2003-03-21,5.160000,5.410000,5.000000,5.000000,3.107594,2791000
2003-03-24,4.840000,5.010000,4.720000,5.000000,3.107594,1572700
2003-03-25,4.930000,5.090000,4.930000,5.080000,3.157316,1057900
2003-03-26,5.030000,5.140000,5.000000,5.010000,3.113809,756100
2003-03-27,5.010000,5.010000,4.910000,4.980000,3.095163,514000
2003-03-28,4.970000,5.220000,4.970000,5.190000,3.225682,1556700
2003-03-31,5.070000,5.130000,4.940000,4.960000,3.082733,1628400
2003-04-01,4.990000,5.190000,4.990000,5.180000,3.219468,884900
2003-04-02,5.220000,5.490000,5.210000,5.460000,3.393493,1673900
2003-04-03,5.440000,5.560000,5.410000,5.460000,3.393493,1804100
2003-04-04,5.480000,5.600000,5.420000,5.420000,3.368632,1115200
2003-04-07,5.690000,5.700000,5.240000,5.270000,3.275404,1970700
2003-04-08,5.340000,5.370000,5.180000,5.230000,3.250544,1195900
2003-04-09,5.250000,5.400000,5.020000,5.090000,3.163530,1098400
2003-04-10,5.010000,5.140000,4.970000,5.020000,3.120025,655000
2003-04-11,5.040000,5.130000,4.910000,4.980000,3.095163,782000
2003-04-14,4.920000,5.020000,4.920000,4.950000,3.076517,688400
2003-04-15,4.970000,5.030000,4.910000,5.010000,3.113809,805800
2003-04-16,5.090000,5.090000,4.930000,4.950000,3.076517,1325700
2003-04-17,5.200000,5.230000,4.950000,5.000000,3.107594,897300
2003-04-21,5.000000,5.060000,4.970000,5.000000,3.107594,533000
2003-04-22,5.030000,5.250000,5.000000,5.200000,3.231897,2765500
2003-04-23,5.290000,5.350000,5.170000,5.210000,3.238112,1863100
2003-04-24,5.220000,5.250000,5.020000,5.020000,3.120025,849600
2003-04-25,5.080000,5.110000,4.930000,4.930000,3.064088,772400
2003-04-28,4.960000,5.070000,4.880000,5.050000,3.138671,1143800
2003-04-29,5.080000,5.170000,5.000000,5.000000,3.107594,1838500
2003-04-30,5.020000,5.050000,4.970000,5.000000,3.107594,1144100
2003-05-01,5.010000,5.160000,5.000000,5.110000,3.175961,1497500
2003-05-02,5.200000,5.780000,5.160000,5.680000,3.530227,5010300
2003-05-05,6.160000,6.510000,6.040000,6.180000,3.840987,8877100
2003-05-06,6.390000,6.400000,6.200000,6.260000,3.890708,3708600
2003-05-07,6.290000,6.330000,6.110000,6.180000,3.840987,2093200
2003-05-08,6.070000,6.150000,5.830000,5.990000,3.722897,1897500
2003-05-09,6.120000,6.250000,6.010000,6.200000,3.853417,1968400
2003-05-12,6.170000,6.400000,6.110000,6.340000,3.940429,1982500
2003-05-13,6.160000,6.780000,6.110000,6.700000,4.164176,4508000
2003-05-14,6.790000,7.010000,6.750000,6.800000,4.226330,3688800
2003-05-15,6.800000,7.500000,6.730000,7.480000,4.648960,7769000
2003-05-16,7.440000,7.800000,7.400000,7.510000,4.667606,7511500
2003-05-19,7.410000,7.450000,7.070000,7.140000,4.437644,3402500
2003-05-20,7.200000,7.230000,6.990000,7.140000,4.437644,3314800
2003-05-21,7.140000,7.400000,7.000000,7.360000,4.574378,2141300
2003-05-22,7.250000,7.430000,7.100000,7.250000,4.506010,3071500
2003-05-23,7.220000,7.270000,7.130000,7.160000,4.450075,1242000
2003-05-27,7.150000,7.520000,7.090000,7.510000,4.667606,2619600
2003-05-28,7.540000,7.990000,7.330000,7.910000,4.916213,5747600
2003-05-29,7.930000,8.310000,7.800000,8.120000,5.046732,7432100
2003-05-30,8.120000,8.230000,7.780000,7.830000,4.866491,3713200
2003-06-02,8.000000,8.040000,7.570000,7.580000,4.711112,4314900
2003-06-03,7.680000,7.690000,7.490000,7.550000,4.692467,3332600
