"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"13.03.2020","0,9004","0,8940","0,9047","0,8910","0,70%"
"12.03.2020","0,8941","0,8873","0,9046","0,8823","0,77%"
"11.03.2020","0,8873","0,8865","0,8884","0,8798","0,09%"
"10.03.2020","0,8865","0,8737","0,8869","0,8727","1,50%"
"09.03.2020","0,8734","0,8857","0,8862","0,8700","-1,43%"
"06.03.2020","0,8861","0,8895","0,8919","0,8804","-0,40%"
"05.03.2020","0,8897","0,8980","0,8994","0,8892","-0,92%"
"04.03.2020","0,8980","0,8951","0,9013","0,8939","0,32%"
"03.03.2020","0,8951","0,8982","0,9012","0,8919","-0,35%"
"02.03.2020","0,8982","0,9089","0,9089","0,8940","-0,96%"
"28.02.2020","0,9069","0,9089","0,9132","0,9047","-0,24%"
"27.02.2020","0,9091","0,9188","0,9193","0,9086","-1,09%"
"26.02.2020","0,9191","0,9191","0,9213","0,9166","0,00%"
"25.02.2020","0,9191","0,9213","0,9234","0,9183","-0,24%"
"24.02.2020","0,9213","0,9225","0,9255","0,9198","-0,09%"
"21.02.2020","0,9221","0,9272","0,9274","0,9205","-0,56%"
"20.02.2020","0,9273","0,9254","0,9280","0,9242","0,21%"
"19.02.2020","0,9254","0,9267","0,9276","0,9249","-0,13%"
"18.02.2020","0,9266","0,9226","0,9272","0,9226","0,40%"
"17.02.2020","0,9229","0,9231","0,9241","0,9215","-0,03%"
"14.02.2020","0,9232","0,9225","0,9237","0,9208","0,09%"
"13.02.2020","0,9224","0,9196","0,9230","0,9183","0,29%"
"12.02.2020","0,9197","0,9161","0,9205","0,9153","0,39%"
