"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"13.03.2020","72,6133","74,8742","74,9023","72,0689","-3,02%"
"12.03.2020","74,8742","72,9375","75,4268","72,9121","2,66%"
"11.03.2020","72,9375","71,3747","73,1420","71,1785","2,19%"
"10.03.2020","71,3747","68,5685","72,7925","68,5685","4,09%"
"06.03.2020","68,5685","67,6538","68,5893","67,3500","1,35%"
"05.03.2020","67,6538","66,2666","67,7243","66,0866","2,09%"
"04.03.2020","66,2666","65,9881","66,5286","65,5228","0,42%"
"03.03.2020","65,9881","66,4319","66,6332","65,3718","-0,67%"
"02.03.2020","66,4319","66,8806","67,3036","66,1185","-0,67%"
"28.02.2020","66,8806","66,0217","67,6272","66,0150","1,30%"
"27.02.2020","66,0217","65,4708","66,3953","65,4535","0,84%"
"26.02.2020","65,4708","65,3726","65,7071","64,9758","0,15%"
"25.02.2020","65,3726","64,0561","65,5840","64,0561","2,06%"
"21.02.2020","64,0561","64,2038","64,5556","63,9151","-0,23%"
"20.02.2020","64,2038","63,5710","64,2898","63,5710","1,00%"
"19.02.2020","63,5710","63,8115","63,8115","63,4626","-0,38%"
"18.02.2020","63,8115","63,4645","64,1482","63,4645","0,55%"
"17.02.2020","63,4645","63,5556","63,5625","63,2157","-0,14%"
"14.02.2020","63,5556","63,6413","63,6463","63,3913","-0,13%"
"13.02.2020","63,6413","63,2143","63,7693","63,2123","0,68%"
"12.02.2020","63,2143","63,3759","63,3760","62,9315","-0,25%"
